state,chi
Andhra Pradesh,nan
Jammu & Kashmir,0.999597801447
Himachal Pradesh,0.999980068273
Punjab,nan
Chandigarh,nan
Uttarakhand,nan
Haryana,nan
Delhi,0.999999329614
Rajasthan,0.999921635655
Uttar Pradesh,0.999999974173
Sikkim,nan
Arunanchal Pradesh,nan
Nagaland,nan
Manipur,nan
Mizoram,nan
Tripura,nan
Meghalaya,nan
Assam,nan
Bihar,0.999992658694
West Bengal,nan
Jharkhand,0.999970345023
Odisha,0.999597801447
Chhattisgarh,0.999997388733
Madhya Pradesh,nan
Gujarat,nan
Daman & Diu,nan
Dadara & Nagar Havelli,1.0
Maharashtra,nan
Goa,nan
Karnataka,nan
Lakshadweep,1.0
Kerala,0.999970345023
Tamil Nadu,nan
Puducherry,nan
