state,chi
Andhra Pradesh,1.11022302463e-16
Jammu & Kashmir,0.0
Himachal Pradesh,3.33066907388e-16
Punjab,0.798897293589
Chandigarh,2.92479422781e-06
Uttarakhand,0.0
Haryana,0.0
Delhi,0.0
Rajasthan,0.0
Uttar Pradesh,1.31616939569e-12
Sikkim,3.87527386403e-07
Arunanchal Pradesh,3.61773944135e-11
Nagaland,0.00156114045755
Manipur,1.84979623086e-06
Mizoram,0.00146851514443
Tripura,3.11842796141e-07
Meghalaya,9.57789403344e-13
Assam,0.0
Bihar,0.0
West Bengal,8.07132138902e-14
Jharkhand,2.62012633812e-14
Odisha,0.000310267570243
Chhattisgarh,0.0113866502579
Madhya Pradesh,0.00027396690575
Gujarat,0.380435544058
Daman & Diu,0.125189269139
Dadara & Nagar Havelli,0.0
Maharashtra,4.92357694805e-05
Goa,0.00394220990322
Karnataka,9.79021805847e-08
Lakshadweep,1.0
Kerala,6.50441511763e-09
Tamil Nadu,0.000762327047226
Puducherry,0.582807798147
