state,chi
Andhra Pradesh,0.692742722569
Jammu & Kashmir,0.180666879317
Himachal Pradesh,0.269024648182
Punjab,1.0
Chandigarh,0.99830600262
Uttarakhand,0.0556107069342
Haryana,0.398083026399
Delhi,0.289062728374
Rajasthan,0.499883095895
Uttar Pradesh,0.969316211875
Sikkim,0.995551509698
Arunanchal Pradesh,0.449289984823
Nagaland,0.0161470014162
Manipur,0.944355481505
Mizoram,0.986918021872
Tripura,0.556331660869
Meghalaya,0.00584064968728
Assam,0.457628289281
Bihar,0.167264956064
West Bengal,0.817228750851
Jharkhand,0.989553339386
Odisha,0.332304632812
Chhattisgarh,0.948634345191
Madhya Pradesh,0.847631913345
Gujarat,0.700998542031
Daman & Diu,0.66287873039
Dadara & Nagar Havelli,0.292869170221
Maharashtra,0.982160200334
Goa,0.000139175153011
Karnataka,0.547912326791
Lakshadweep,1.0
Kerala,0.01329690288
Tamil Nadu,0.90957187077
Puducherry,0.875185827286
