state,chi
Andhra Pradesh,0.781340260529
Jammu & Kashmir,0.000268337672772
Himachal Pradesh,0.517911992703
Punjab,nan
Chandigarh,0.993610434386
Uttarakhand,0.00301720718115
Haryana,0.000313895910879
Delhi,0.331164703166
Rajasthan,0.021497989419
Uttar Pradesh,0.537552749599
Sikkim,0.992207648532
Arunanchal Pradesh,0.239442787582
Nagaland,1.0
Manipur,0.97605809519
Mizoram,0.97650044641
Tripura,0.960123082935
Meghalaya,0.982169883882
Assam,0.758503664204
Bihar,0.000229314993859
West Bengal,0.954133244112
Jharkhand,0.163520626061
Odisha,0.99994270586
Chhattisgarh,0.0145101429101
Madhya Pradesh,0.0805376902706
Gujarat,0.968146121016
Daman & Diu,0.986915722016
Dadara & Nagar Havelli,6.354125337e-09
Maharashtra,0.0652620506913
Goa,5.93594540188e-09
Karnataka,0.804189492061
Lakshadweep,1.0
Kerala,3.8255086876e-09
Tamil Nadu,0.0130616439157
Puducherry,0.899115035694
