state,chi
Andhra Pradesh,0.55154253519
Jammu & Kashmir,0.0846627761296
Himachal Pradesh,0.038114232218
Punjab,nan
Chandigarh,0.957889903714
Uttarakhand,0.0401776279906
Haryana,0.472281090032
Delhi,0.0288227923121
Rajasthan,0.897675531235
Uttar Pradesh,0.347287427023
Sikkim,0.874555630521
Arunanchal Pradesh,0.694107664913
Nagaland,1.0
Manipur,0.1130102705
Mizoram,0.90774391005
Tripura,0.898664057806
Meghalaya,0.639124652332
Assam,0.959866128608
Bihar,0.24308664074
West Bengal,0.0184859404248
Jharkhand,0.866421130831
Odisha,0.412125391791
Chhattisgarh,0.6369241608
Madhya Pradesh,0.449816360227
Gujarat,0.969381710158
Daman & Diu,0.412770580397
Dadara & Nagar Havelli,0.296012293155
Maharashtra,0.0397388869862
Goa,0.0278682557263
Karnataka,0.468813307727
Lakshadweep,1.0
Kerala,0.0102006509344
Tamil Nadu,0.000162272823854
Puducherry,0.124577827316
