state,chi
Andhra Pradesh,0.999895444434
Jammu & Kashmir,0.999623652655
Himachal Pradesh,0.999996515088
Punjab,nan
Chandigarh,0.999996787898
Uttarakhand,0.999988924779
Haryana,0.999999999806
Delhi,0.925720222948
Rajasthan,0.993833615645
Uttar Pradesh,0.785047893339
Sikkim,nan
Arunanchal Pradesh,nan
Nagaland,nan
Manipur,0.999999919609
Mizoram,nan
Tripura,0.997742324634
Meghalaya,0.999999992197
Assam,0.999999999912
Bihar,0.988910888772
West Bengal,0.999999936994
Jharkhand,0.874092628837
Odisha,0.142816161057
Chhattisgarh,0.775054158688
Madhya Pradesh,0.999945364564
Gujarat,nan
Daman & Diu,0.999999933512
Dadara & Nagar Havelli,0.364011751644
Maharashtra,0.998720883531
Goa,0.916711880209
Karnataka,0.999999930847
Lakshadweep,1.0
Kerala,1.0
Tamil Nadu,0.983769266456
Puducherry,nan
