state,chi
Andhra Pradesh,nan
Jammu & Kashmir,0.687289278791
Himachal Pradesh,0.557825400371
Punjab,nan
Chandigarh,nan
Uttarakhand,nan
Haryana,nan
Delhi,0.557825400371
Rajasthan,0.0115049094461
Uttar Pradesh,0.449711055849
Sikkim,nan
Arunanchal Pradesh,nan
Nagaland,nan
Manipur,nan
Mizoram,nan
Tripura,nan
Meghalaya,nan
Assam,nan
Bihar,0.930828218097
West Bengal,nan
Jharkhand,0.367879441171
Odisha,0.687289278791
Chhattisgarh,0.862717919116
Madhya Pradesh,nan
Gujarat,nan
Daman & Diu,nan
Dadara & Nagar Havelli,0.86893300415
Maharashtra,nan
Goa,nan
Karnataka,nan
Lakshadweep,1.0
Kerala,0.367879441171
Tamil Nadu,nan
Puducherry,nan
