state,chi
Andhra Pradesh,0.0212287073656
Jammu & Kashmir,0.0585590579838
Himachal Pradesh,0.00156245803896
Punjab,0.901310176229
Chandigarh,0.0010002171639
Uttarakhand,0.000915013715767
Haryana,0.863829897863
Delhi,0.0365236032
Rajasthan,0.000113582386669
Uttar Pradesh,0.00228383945838
Sikkim,0.63322942113
Arunanchal Pradesh,0.174933111365
Nagaland,0.502441723863
Manipur,0.190940811193
Mizoram,1.0
Tripura,0.554618396034
Meghalaya,2.55250672025e-05
Assam,9.2844598291e-05
Bihar,0.0124956763746
West Bengal,0.00589678336326
Jharkhand,0.00835017403649
Odisha,0.000287323039656
Chhattisgarh,0.00118350427063
Madhya Pradesh,2.03470820193e-08
Gujarat,0.396425742128
Daman & Diu,0.00152636363472
Dadara & Nagar Havelli,0.00093076984102
Maharashtra,7.1054273576e-15
Goa,7.74253959087e-05
Karnataka,0.0817036119695
Lakshadweep,1.0
Kerala,0.241929646445
Tamil Nadu,8.90496565376e-11
Puducherry,0.0255364076818
