state,chi
Andhra Pradesh,3.3458979809e-08
Jammu & Kashmir,3.6026901129e-08
Himachal Pradesh,0.315250918133
Punjab,nan
Chandigarh,0.739598963261
Uttarakhand,0.000412319644574
Haryana,0.151309337402
Delhi,2.30104618423e-05
Rajasthan,0.0937780935933
Uttar Pradesh,3.31666019093e-07
Sikkim,0.0931779018894
Arunanchal Pradesh,0.194919888562
Nagaland,0.503631421075
Manipur,0.650888673801
Mizoram,1.0
Tripura,0.0258776748527
Meghalaya,0.45715943151
Assam,0.264530756192
Bihar,0.366247311308
West Bengal,0.000758683650286
Jharkhand,0.175772316404
Odisha,0.000148626818275
Chhattisgarh,1.77724501782e-12
Madhya Pradesh,0.046165501676
Gujarat,0.174013836067
Daman & Diu,0.263987648733
Dadara & Nagar Havelli,0.00146244905486
Maharashtra,0.0117370280847
Goa,0.00146070531705
Karnataka,0.189953187636
Lakshadweep,1.0
Kerala,0.405926912151
Tamil Nadu,0.0263001205253
Puducherry,0.297306529196
