state,chi
Andhra Pradesh,0.781329025026
Jammu & Kashmir,0.890480098229
Himachal Pradesh,2.1457315369e-08
Punjab,1.0
Chandigarh,0.694945141435
Uttarakhand,0.00150928563516
Haryana,0.0591561460829
Delhi,0.000530115608312
Rajasthan,0.559636749114
Uttar Pradesh,0.0606001415798
Sikkim,0.531013925537
Arunanchal Pradesh,0.847742308016
Nagaland,0.800793586686
Manipur,0.780920855102
Mizoram,0.524550539333
Tripura,0.0969272403161
Meghalaya,0.0031908113725
Assam,0.58413471317
Bihar,9.15816537685e-05
West Bengal,0.257126806057
Jharkhand,0.0680937984155
Odisha,0.368584301762
Chhattisgarh,0.00186922138501
Madhya Pradesh,0.00135460631859
Gujarat,0.796763382263
Daman & Diu,0.361831701966
Dadara & Nagar Havelli,0.00225537618771
Maharashtra,9.67921577244e-06
Goa,0.612834741184
Karnataka,0.186833263311
Lakshadweep,1.0
Kerala,1.4892554967e-09
Tamil Nadu,0.00042031902822
Puducherry,0.304301854675
